"varnames_orig","varnames_replace"
"speech_apr32_8w_25km","visit_8w_25km7"
"speech_apr32_8w_50km","visit_8w_50km7"
"speech_apr32_12w_5km","visit_12w_5km7"
"speech_apr32_12w_10km","visit_12w_10km7"
"speech_apr32_12w_25km","visit_12w_25km7"
"speech_apr32_12w_50km","visit_12w_50km7"
"speech_may28_5km_nomatch","visit_5km_nomatch1"
"speech_may28_10km_nomatch","visit_10km_nomatch1"
"speech_may28_25km_nomatch","visit_25km_nomatch1"
"speech_may28_50km_nomatch","visit_50km_nomatch1"
"speech_sep30_5km_nomatch","visit_5km_nomatch2"
"speech_sep30_10km_nomatch","visit_10km_nomatch2"
"speech_sep30_25km_nomatch","visit_25km_nomatch2"
"speech_sep30_50km_nomatch","visit_50km_nomatch2"
"speech_jul32_5km_nomatch","visit_5km_nomatch3"
"speech_jul32_10km_nomatch","visit_10km_nomatch3"
"speech_jul32_25km_nomatch","visit_25km_nomatch3"
"speech_jul32_50km_nomatch","visit_50km_nomatch3"
"speech_nov32_5km_nomatch","visit_5km_nomatch4"
"speech_nov32_10km_nomatch","visit_10km_nomatch4"
"speech_nov32_25km_nomatch","visit_25km_nomatch4"
"speech_nov32_50km_nomatch","visit_50km_nomatch4"
"speech_mar33_5km_nomatch","visit_5km_nomatch5"
"speech_mar33_10km_nomatch","visit_10km_nomatch5"
"speech_mar33_25km_nomatch","visit_25km_nomatch5"
"speech_mar33_50km_nomatch","visit_50km_nomatch5"
"speech_mar32_5km_nomatch","visit_5km_nomatch6"
"speech_mar32_10km_nomatch","visit_10km_nomatch6"
"speech_mar32_25km_nomatch","visit_25km_nomatch6"
"speech_mar32_50km_nomatch","visit_50km_nomatch6"
"speech_apr32_5km_nomatch","visit_5km_nomatch7"
"speech_apr32_10km_nomatch","visit_10km_nomatch7"
"speech_apr32_25km_nomatch","visit_25km_nomatch7"
"speech_apr32_50km_nomatch","visit_50km_nomatch7"
"speech_may28_2w_5km_nomatch","visit_2w_5km_nomatch1"
"speech_may28_2w_10km_nomatch","visit_2w_10km_nomatch1"
"speech_may28_2w_25km_nomatch","visit_2w_25km_nomatch1"
"speech_may28_2w_50km_nomatch","visit_2w_50km_nomatch1"
"speech_may28_4w_5km_nomatch","visit_4w_5km_nomatch1"
"speech_may28_4w_10km_nomatch","visit_4w_10km_nomatch1"
"speech_may28_4w_25km_nomatch","visit_4w_25km_nomatch1"
"speech_may28_4w_50km_nomatch","visit_4w_50km_nomatch1"
"speech_may28_8w_5km_nomatch","visit_8w_5km_nomatch1"
"speech_may28_8w_10km_nomatch","visit_8w_10km_nomatch1"
"speech_may28_8w_25km_nomatch","visit_8w_25km_nomatch1"
"speech_may28_8w_50km_nomatch","visit_8w_50km_nomatch1"
"speech_may28_12w_5km_nomatch","visit_12w_5km_nomatch1"
"speech_may28_12w_10km_nomatch","visit_12w_10km_nomatch1"
"speech_may28_12w_25km_nomatch","visit_12w_25km_nomatch1"
"speech_may28_12w_50km_nomatch","visit_12w_50km_nomatch1"
"speech_sep30_2w_5km_nomatch","visit_2w_5km_nomatch2"
"speech_sep30_2w_10km_nomatch","visit_2w_10km_nomatch2"
